,p1_win
0,0
1,1
2,0
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,1
43,0
44,0
45,1
46,0
47,1
48,0
49,0
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,1
68,0
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,0
78,1
79,0
80,1
81,1
82,0
83,0
84,1
85,0
86,1
87,1
88,0
89,0
90,1
91,1
92,1
93,0
94,0
95,0
96,1
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,1
105,0
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,1
120,1
121,0
122,0
123,1
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,1
137,0
138,1
139,0
140,1
141,0
142,1
143,0
144,1
145,0
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,0
159,1
160,0
161,1
162,0
163,0
164,0
165,1
166,0
167,1
168,0
169,1
170,0
171,0
172,1
173,0
174,0
175,1
176,0
177,1
178,0
179,1
180,1
181,0
182,0
183,1
184,0
185,1
186,0
187,1
188,0
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,0
197,0
198,0
199,1
200,0
201,0
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,0
210,1
211,1
212,0
213,1
214,0
215,0
216,1
217,0
218,1
219,0
220,1
221,1
222,0
223,1
224,0
225,1
226,0
227,0
228,1
229,0
230,1
231,0
232,1
233,0
234,0
235,1
236,1
237,0
238,1
239,0
240,1
241,0
242,0
243,1
244,0
245,1
246,0
247,0
248,1
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,0
257,0
258,0
259,1
260,0
261,1
262,0
263,1
264,0
265,1
266,1
267,0
268,1
269,0
270,0
271,1
272,1
273,0
274,0
275,1
276,0
277,1
278,0
279,0
280,1
281,1
282,0
283,1
284,0
285,1
286,0
287,1
288,0
289,0
290,0
291,0
292,1
293,1
294,0
295,0
296,1
297,0
298,1
299,0
300,0
301,1
302,1
303,1
304,0
305,1
306,0
307,1
308,0
309,0
310,1
311,1
312,0
313,1
314,0
315,0
316,1
317,1
318,0
319,1
320,0
321,1
322,0
323,1
324,0
325,1
326,0
327,1
328,0
329,1
330,0
331,1
332,0
333,0
334,1
335,0
336,1
337,0
338,1
339,0
340,1
341,0
342,0
343,0
344,1
345,1
346,0
347,1
348,0
349,0
350,1
351,0
352,1
353,0
354,1
355,1
356,0
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,0
365,1
366,0
367,1
368,1
369,0
370,1
371,0
372,1
373,0
374,0
375,1
376,0
377,1
378,0
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,0
387,1
388,0
389,1
390,0
391,1
392,0
393,0
394,1
395,0
396,1
397,0
398,0
399,1
400,0
401,1
402,0
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,0
411,1
412,0
413,1
414,0
415,1
416,0
417,1
418,0
419,1
420,1
421,0
422,0
423,1
424,0
425,1
426,0
427,1
428,1
429,0
430,0
431,1
432,1
433,0
434,1
435,0
436,1
437,0
438,0
439,1
440,1
441,0
442,0
443,0
444,1
445,1
446,0
447,0
448,1
449,1
450,0
451,0
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,1
460,0
461,0
462,1
463,1
464,0
465,0
466,1
467,0
468,1
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,0
477,0
478,1
479,1
480,0
481,0
482,1
483,0
484,1
485,0
486,1
487,0
488,1
489,1
490,0
491,0
492,1
493,1
494,0
495,0
496,1
497,1
498,0
499,1
500,0
501,1
502,0
503,0
504,1
505,0
506,1
507,0
508,1
509,1
510,0
511,0
512,1
513,1
514,0
515,0
516,1
517,0
518,1
519,1
520,0
521,0
522,1
523,0
524,1
525,0
526,1
527,0
528,1
529,1
530,0
531,1
532,0
533,0
534,1
535,0
536,1
537,1
538,0
539,1
540,0
541,0
542,1
543,1
544,0
545,1
546,0
547,0
548,1
549,0
550,0
551,1
552,1
553,0
554,1
555,0
556,1
557,0
558,1
559,0
560,1
561,0
562,1
563,0
564,1
565,0
566,1
567,0
568,0
569,0
570,1
571,1
572,1
573,0
574,1
575,0
576,0
577,1
578,0
579,0
580,1
581,0
582,0
583,1
584,0
585,1
586,0
587,1
588,0
589,0
590,1
591,1
592,0
593,0
594,1
595,0
596,1
597,0
598,1
599,0
600,1
601,1
602,0
603,1
604,0
605,0
606,1
607,0
608,1
609,1
610,0
611,1
612,0
613,1
614,0
615,1
616,0
617,1
618,0
619,1
620,0
621,1
622,0
623,1
624,0
625,1
626,0
627,1
628,0
629,1
630,0
631,1
632,0
633,1
634,0
635,0
636,0
637,1
638,1
639,0
640,1
641,0
642,1
643,0
644,1
645,0
646,1
647,0
648,1
649,0
650,1
651,0
652,1
653,0
654,1
655,0
656,1
657,0
658,1
659,1
660,0
661,1
662,0
663,1
664,0
665,1
666,0
667,1
668,0
669,1
670,0
671,1
672,1
673,0
674,1
675,0
676,1
677,0
678,1
679,0
680,1
681,0
682,1
683,0
684,0
685,0
686,1
687,1
688,0
689,1
690,0
691,1
692,0
693,1
694,0
695,1
696,0
697,1
698,0
699,1
700,0
701,0
702,1
703,1
704,0
705,1
706,0
707,1
708,0
709,1
710,0
711,1
712,0
713,1
714,0
715,1
716,0
717,1
718,0
719,1
720,0
721,1
722,0
723,1
724,0
725,1
726,0
727,0
728,1
729,0
730,1
731,0
732,0
733,1
734,1
735,0
736,1
737,0
738,1
739,0
740,1
741,0
742,1
743,0
744,1
745,0
746,0
747,1
748,1
749,0
750,1
751,0
752,1
753,0
754,1
755,0
756,1
757,0
758,1
759,0
760,1
761,0
762,1
763,0
764,1
765,0
766,1
767,0
768,1
769,0
770,1
771,0
772,1
773,0
774,1
775,0
776,1
777,0
778,1
779,0
780,1
781,0
782,1
783,0
784,1
785,0
786,1
787,0
788,1
789,0
790,1
791,0
792,0
793,1
794,0
795,1
796,0
797,1
798,0
799,1
800,0
801,1
802,0
803,1
804,0
805,1
806,0
807,1
808,0
809,1
810,0
811,1
812,0
813,1
814,0
815,1
816,0
817,1
818,0
819,1
820,0
821,1
822,0
823,1
824,0
825,1
826,0
827,1
828,0
829,1
830,0
831,1
832,0
833,1
834,0
835,1
836,0
837,1
838,0
839,1
840,0
841,1
842,0
843,1
844,0
845,1
846,0
847,1
848,0
849,1
850,0
851,1
852,0
853,1
854,0
855,1
856,0
857,1
858,0
859,1
860,1
861,0
862,1
863,0
864,0
865,1
866,0
867,1
868,0
869,1
870,0
871,1
872,0
873,1
874,0
875,1
876,0
877,1
878,0
879,1
880,0
881,1
882,0
883,1
884,0
885,1
886,0
887,1
888,0
889,1
890,0
891,1
892,0
893,1
894,0
895,1
896,0
897,1
898,0
899,1
900,0
901,1
902,0
903,1
904,0
905,1
906,0
907,1
908,0
909,1
910,0
911,1
912,0
913,1
914,0
915,1
916,0
917,1
918,0
919,1
920,0
921,1
922,0
923,1
924,0
925,1
926,0
927,1
928,0
929,1
930,0
931,1
932,0
933,1
934,0
935,1
936,0
937,1
938,0
939,1
940,0
941,1
942,0
943,1
944,0
945,1
946,0
947,1
948,0
949,1
950,0
951,1
952,0
953,1
954,0
955,1
956,0
957,1
958,0
959,1
960,0
961,1
962,0
963,1
964,0
965,1
966,0
967,1
968,0
969,1
970,0
971,1
972,0
973,1
974,0
975,1
976,0
977,1
978,0
979,1
980,0
981,1
982,0
983,1
984,0
985,1
986,0
987,1
988,0
989,1
990,0
991,1
992,0
993,1
994,0
995,1
996,0
997,0
998,1
999,0
1000,1
1001,0
1002,1
1003,0
1004,1
1005,0
1006,1
1007,0
1008,1
1009,0
1010,1
1011,0
1012,1
1013,0
1014,1
1015,0
1016,1
1017,0
1018,1
1019,0
1020,1
1021,0
1022,1
1023,0
1024,1
1025,0
1026,1
1027,0
1028,1
1029,0
1030,1
1031,0
1032,1
1033,1
1034,0
1035,1
1036,0
1037,1
1038,0
1039,1
1040,0
1041,1
1042,0
1043,1
1044,0
1045,1
1046,0
1047,1
1048,0
1049,1
1050,0
1051,1
1052,0
1053,1
1054,0
1055,1
1056,0
1057,1
1058,0
1059,1
1060,0
