,p1_win
74760,True
33521,True
27819,True
41669,False
60722,True
2845,False
6000,False
25874,False
26970,False
65105,False
9160,True
24760,True
74768,False
65973,False
72927,False
71139,True
50463,False
41896,True
12784,True
15452,True
53060,False
51247,True
59928,True
18301,False
74023,True
9492,True
11447,True
11070,False
47914,True
21856,True
67290,True
22043,True
61688,True
8082,False
44907,False
29106,False
62825,False
48140,True
6690,True
29451,False
26508,False
71409,True
67023,False
26828,False
35882,False
64808,True
64286,True
19899,True
21462,False
11866,False
70058,True
12042,True
40446,True
17728,True
28642,True
70321,False
21895,False
44639,False
22582,False
38737,True
28912,False
50834,True
21742,True
50914,False
27992,True
32016,False
18262,True
13287,False
69473,False
64711,False
44123,False
7510,True
51560,False
54643,True
11833,True
17524,False
23553,False
48791,False
64564,False
24466,True
58835,False
40585,False
57964,True
73630,True
66700,True
860,False
31032,True
46644,True
69539,True
7403,True
42866,False
48936,True
37550,False
41631,False
10777,True
17617,False
21280,False
20675,False
52124,True
39254,True
24476,False
17314,True
58149,False
17084,True
23146,True
44287,False
14931,True
16341,True
61180,True
30828,True
4083,False
33488,True
47284,False
25331,True
53809,True
32191,True
57783,False
4531,False
55730,False
21796,False
61817,False
38137,False
28498,True
2063,True
28629,False
18752,True
58142,True
48403,True
39820,False
450,True
12764,True
10606,False
51738,True
60110,True
37084,False
1517,False
64969,True
6135,False
26902,False
52683,False
29428,False
55297,False
9589,False
38957,True
8461,False
55588,True
59840,True
20916,True
58262,True
42444,False
38059,True
65332,False
46117,True
30727,False
5951,True
38661,True
60664,False
28716,True
29443,False
43568,True
37597,True
61724,True
57329,False
71628,False
22116,False
72340,False
45181,True
9714,True
56486,True
71918,True
49610,False
22625,True
65286,False
72721,True
48690,False
37807,True
68789,True
64151,False
72972,True
30996,False
36460,True
54357,False
26487,True
33906,False
51761,False
14665,True
7580,False
51704,False
24783,True
5491,True
46145,True
55159,False
37029,True
48239,False
44965,True
48818,False
7415,True
15385,True
9375,False
36375,False
542,False
41190,True
13054,True
64774,False
56604,True
5717,True
31874,False
46764,False
22635,True
33671,True
47620,True
47102,True
55323,False
27575,False
20191,True
70424,False
45127,False
43213,True
52190,False
56263,False
1075,False
24506,False
67999,False
11762,False
44190,True
2693,True
55328,True
48601,True
33139,False
12753,False
21693,True
13849,False
15755,False
27405,False
71971,False
29300,True
38952,False
26754,False
11933,False
66988,False
35923,False
20203,True
68092,False
7186,False
12828,True
56790,False
31145,False
57348,True
13667,False
73465,False
36746,True
37072,False
74369,True
64783,False
63817,False
950,True
15472,False
64639,True
22020,True
45304,False
23713,False
19535,True
60553,True
11267,True
54523,False
57595,True
43196,False
65254,True
48493,True
63952,True
13887,False
43778,True
2443,True
7659,False
73820,True
23842,False
42728,False
64746,False
18267,False
30784,True
57164,False
40152,True
13718,True
4426,False
48793,False
22019,False
13420,True
72634,True
19264,True
21598,True
52058,True
17117,False
73924,False
70297,False
72343,True
57696,True
43434,False
13832,True
68395,True
36461,False
20403,False
26040,True
67160,False
44034,True
57288,False
23354,True
65657,False
46255,False
60760,False
69093,True
26891,True
13777,False
46019,True
32337,False
44654,True
65257,False
38712,True
21276,False
11168,False
62719,True
18390,True
71103,False
43913,False
46258,False
15850,False
38843,True
22395,True
57018,False
66920,False
28961,False
20183,True
30329,True
4402,False
61126,False
38697,False
61644,False
54361,False
45699,False
36940,True
14110,True
8185,True
64512,False
52838,False
56167,False
65412,True
1777,False
32682,False
71187,True
17256,False
44586,True
8987,False
23126,True
36088,True
35361,True
30233,True
32696,False
34008,True
17212,True
26021,True
43773,False
17245,False
34067,True
44470,True
6956,False
14014,True
17714,False
73535,True
46986,False
4214,False
39081,False
61224,False
42431,True
36256,False
11882,True
67921,True
48139,False
27370,False
24737,True
48734,True
61179,True
1682,False
57712,True
20602,True
21646,True
26972,False
36484,True
7430,False
41894,True
10594,False
53282,True
20127,True
30123,False
7104,False
64789,False
73442,False
57841,False
67096,False
73595,False
373,True
50523,False
10756,False
32530,True
49818,True
22319,False
38595,False
36942,True
32303,True
50684,True
29436,True
68053,False
37740,False
11464,False
23030,True
11842,False
37699,False
24063,False
68318,False
10152,True
56386,True
16719,True
3936,False
70644,False
71264,False
22739,False
50990,False
19885,True
28400,False
42950,False
33182,True
55334,False
41226,True
28573,True
69494,True
21119,False
53893,False
34853,False
15785,False
11360,False
63677,True
13801,False
68831,True
68738,True
840,False
42884,False
43110,False
64010,False
55594,True
62508,False
67683,False
47840,False
74654,False
64179,False
41847,False
2522,True
64191,False
9402,True
53522,False
13294,True
5939,True
29366,False
54863,False
63899,False
66464,False
72082,False
28097,False
5774,False
35883,True
3911,False
4978,True
64691,True
57619,True
42450,False
25004,False
29541,False
31544,False
590,True
54161,False
46865,True
14435,True
74824,False
59819,False
63005,False
23822,False
56975,True
52006,False
9795,False
28957,True
55800,True
73690,False
30549,True
23053,True
5322,True
1507,False
32431,True
3640,True
50277,True
51381,True
65598,False
47203,False
57977,False
54150,False
73951,True
57871,False
3341,False
44886,True
6980,False
24391,True
53235,True
11775,True
69245,True
16133,False
55316,False
13277,False
30895,True
64362,True
28445,False
7519,False
8073,True
44227,False
33764,False
36479,True
4349,True
67876,False
10208,True
30314,False
38627,True
28294,True
66781,True
69728,False
7808,True
3255,False
48828,False
13072,True
31759,False
72699,False
52277,True
54650,True
28856,True
16005,False
57487,False
44556,True
14569,True
36694,False
15271,True
45631,False
22772,True
